1 0:1 1:20.38 2:18.9 3:629395704 4:32064800
1 0:1 1:19.46 2:18.02 3:156266563 4:8322600
1 0:1 1:18.47 2:17.71 3:70956198 4:3945300
1 0:1 1:18.55 2:17.75 3:39468139 4:2168600
1 0:1 1:18.59 2:18.02 3:25762359 4:1406700
1 0:1 1:18.18 2:17.6 3:42446315 4:2363200
1 0:1 1:18 2:17.29 3:38912871 4:2223200
1 0:1 1:18.2 2:17.63 3:22197246 4:1237900
1 0:1 1:18.45 2:17.85 3:23333428 4:1284800
1 0:1 1:18.07 2:17.5 3:16515329 4:931200
1 0:1 1:17.69 2:17.3 3:18634386 4:1070800
1 0:1 1:17.52 2:16.99 3:21387779 4:1247200
1 0:1 1:17 2:16.5 3:18091013 4:1083900
1 0:1 1:17.1 2:16.52 3:13000271 4:768200
1 0:1 1:17.1 2:16.68 3:6388154 4:377200
1 0:1 1:17.65 2:16.55 3:21419678 4:1253000
1 0:1 1:17.39 2:17.01 3:6192872 4:359800
1 0:1 1:17.21 2:16.71 3:7801125 4:461800
1 0:1 1:17.15 2:16.57 3:3184555 4:188600
1 0:1 1:17.07 2:16.5 3:5546003 4:332700
1 0:1 1:17.96 2:16.46 3:20677204 4:1216400
1 0:1 1:17.31 2:16.8 3:5972709 4:349500
1 0:1 1:16.87 2:15.6 3:22394207 4:1395100
1 0:1 1:16.09 2:15.4 3:16088922 4:1024800
1 0:1 1:17.09 2:15.65 3:24076273 4:1473000
1 0:1 1:16.18 2:15.68 3:6736983 4:422200
1 0:1 1:16.39 2:15.89 3:3955300 4:247100
1 0:1 1:16.8 2:15.96 3:6244821 4:386200
1 0:1 1:16.4 2:15.81 3:7160875 4:445500
1 0:1 1:17.5 2:16.12 3:41239080 4:2426300
1 0:1 1:17.18 2:16.62 3:9997042 4:593500
1 0:1 1:17.2 2:16.31 3:25041218 4:1490100
1 0:1 1:17.35 2:16.8 3:14918506 4:874400
1 0:1 1:17.58 2:16.9 3:14585130 4:843800
1 0:1 1:17.25 2:16.7 3:6273000 4:370600
1 0:1 1:16.98 2:16.18 3:10675925 4:648200
1 0:1 1:17.35 2:15.98 3:32973069 4:1937700
1 0:1 1:17.4 2:16.78 3:11032465 4:643900
1 0:1 1:18.48 2:16.81 3:91193068 4:5035700
1 0:1 1:19.79 2:18.56 3:184513903 4:9554000
1 0:1 1:21.42 2:19.13 3:196775274 4:9644300
1 0:1 1:23.05 2:20.75 3:306383234 4:13747000
1 0:1 1:24.6 2:22.5 3:234392025 4:9984500
1 0:1 1:24.49 2:22.7 3:149511074 4:6344400
1 0:1 1:24.25 2:22.88 3:113201974 4:4853700
1 0:1 1:25.52 2:23.01 3:222493736 4:8970300
1 0:1 1:26.2 2:24.3 3:152536780 4:6037400
1 0:1 1:26 2:24.6 3:115695763 4:4592400
1 0:1 1:27.58 2:24.8 3:197400595 4:7539400
1 0:1 1:25.98 2:24.5 3:85768797 4:3406600
1 0:1 1:26.18 2:24.94 3:56831451 4:2255000
1 0:1 1:26.2 2:25.13 3:56418355 4:2191200
1 0:1 1:28.17 2:25.76 3:149237343 4:5511200
1 0:1 1:27 2:25.89 3:62111410 4:2361900
1 0:1 1:27 2:25 3:65025603 4:2543000
1 0:1 1:25.98 2:24.61 3:47433080 4:1884800
1 0:1 1:26.18 2:24.86 3:42657081 4:1677700
1 0:1 1:27.5 2:25.35 3:125602995 4:4755800
1 0:1 1:28 2:25.7 3:110520235 4:4070500
1 0:1 1:29.28 2:26.97 3:96129253 4:3432700
1 0:1 1:27.27 2:26 3:85543987 4:3224000
1 0:1 1:28 2:26.7 3:69451278 4:2550700
1 0:1 1:29.1 2:27.4 3:89283379 4:3159000
1 0:1 1:29.78 2:28.08 3:66080364 4:2270800
1 0:1 1:32.14 2:29.41 3:90314145 4:2875300
1 0:1 1:34.7 2:30.4 3:84063874 4:2505600
1 0:1 1:33.63 2:30.6 3:81794031 4:2510800
1 0:1 1:35.8 2:33.66 3:89634152 4:2594700
1 0:1 1:34.25 2:30.96 3:166186473 4:5262800
1 0:1 1:30.2 2:27.86 3:115729695 4:4034900
1 0:1 1:30.13 2:27.6 3:41437228 4:1432800
1 0:1 1:28.3 2:25.61 3:46101039 4:1714900
1 0:1 1:26.88 2:24.9 3:29518387 4:1130100
1 0:1 1:28.2 2:26.55 3:48416736 4:1756900
1 0:1 1:28.2 2:27 3:28403486 4:1028600
1 0:1 1:27.7 2:26.6 3:21554198 4:796800
1 0:1 1:27.2 2:25 3:31896601 4:1234400
1 0:1 1:25.95 2:24.7 3:24719880 4:984600
1 0:1 1:26.8 2:25.3 3:17521188 4:673900
1 0:1 1:27.36 2:26.2 3:24692429 4:917000
1 0:1 1:26.5 2:25 3:67123927 4:2651200
1 0:1 1:26.48 2:24.42 3:33343969 4:1279670
1 0:1 1:28.48 2:25.58 3:25824219 4:951700
1 0:1 1:30.3 2:27.82 3:73360993 4:2503500
1 0:1 1:30 2:28.21 3:37288178 4:1298700
1 0:1 1:31.37 2:28.02 3:76163644 4:2512800
1 0:1 1:33.98 2:31.35 3:95312334 4:2898100
1 0:1 1:33.35 2:32.03 3:37299573 4:1152800
1 0:1 1:32.9 2:32.05 3:29438337 4:906000
1 0:1 1:32.67 2:31.19 3:32518210 4:1025700
1 0:1 1:31.59 2:30.8 3:33974926 4:1090400
1 0:1 1:32.4 2:31.01 3:37955778 4:1193000
1 0:1 1:32.35 2:31.55 3:9909952 4:311100
1 0:1 1:33.78 2:31.88 3:43292000 4:1305600
1 0:1 1:33 2:31.9 3:15126907 4:469300
1 0:1 1:32.4 2:30.28 3:22639445 4:725400
1 0:1 1:31.55 2:29.5 3:35278712 4:1163100
1 0:1 1:30.9 2:28.01 3:19389230 4:652900
1 0:1 1:30.4 2:29.42 3:10393410 4:350100
1 0:1 1:29.8 2:29 3:13123773 4:447200
1 0:1 1:29.75 2:29.49 3:8851274 4:299000
1 0:1 1:29.7 2:29 3:9339911 4:318500
1 0:1 1:30.3 2:29.22 3:9504578 4:317500
1 0:1 1:29.9 2:29.1 3:6113287 4:207600
1 0:1 1:31.3 2:29.63 3:26393891 4:856600
1 0:1 1:31.39 2:30.05 3:10157643 4:328300
1 0:1 1:31 2:30.17 3:10894876 4:358600
1 0:1 1:31.59 2:30.6 3:24405822 4:783900
1 0:1 1:31.6 2:30.78 3:14693479 4:473000
1 0:1 1:31.29 2:30.72 3:8807698 4:283800
1 0:1 1:31.5 2:31 3:26418090 4:843700
1 0:1 1:31.68 2:30.55 3:16177857 4:520500
1 0:1 1:31.39 2:30.5 3:10517150 4:340800
1 0:1 1:31.18 2:30.35 3:3568943 4:116600
1 0:1 1:31.39 2:29.8 3:19611324 4:636600
1 0:1 1:31.5 2:30.41 3:2328377 4:75100
1 0:1 1:30.7 2:30.01 3:4796927 4:158500
1 0:1 1:31 2:30.15 3:3668704 4:120200
1 0:1 1:31.1 2:30.51 3:5651952 4:182800
